event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,argos:altitude,argos:best-level,argos:calcul-freq,argos:error-radius,argos:gdop,argos:iq,argos:lat1,argos:lat2,argos:lc,argos:lon1,argos:lon2,argos:nb-mes,argos:nb-mes-120,argos:nopc,argos:orientation,argos:pass-duration,argos:semi-major,argos:semi-minor,argos:sensor-1,argos:sensor-2,argos:sensor-3,argos:sensor-4,argos:valid-location-algorithm,external-temperature,gps:fix-type-raw,gps:satellite-count,gps-time-to-fix,ground-speed,gt:activity-count,gt:sys-week,gt:tx-count,heading,height-above-ellipsoid,import-marked-outlier,location-error-text,lotek:crc-status,lotek:crc-status-text,mortality-status,tag-voltage,vertical-error-numerical,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
31733683218,TRUE,2024-02-18 14:24:24,46.61102,-20.23159,,796,-125,4.0165565047E8,445,291,58,-20.23159,-20.23159,2,46.61102,46.61102,5,0,3,99,318,1475,134,116,109,242,76,1,,,,,,,,,,,,,,,,,,argos-doppler-shift,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
33342329643,TRUE,2024-05-29 05:54:00,46.61478,-20.2343,,864,-122,4.0165569876E8,337,199,58,-20.2343,-20.2343,2,46.61478,46.61478,9,0,3,97,563,836,135,114,65,236,110,1,,,,,,,,,,,,,,,,,,argos-doppler-shift,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31708734896,TRUE,2024-02-16 14:28:07,46.61485,-20.23614,,777,-125,4.0165561673E8,355,132,48,-20.23614,-20.23614,2,46.61485,46.61485,7,0,3,101,371,888,142,116,45,222,86,1,,,,,,,,,,,,,,,,,,argos-doppler-shift,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
33441396793,TRUE,2024-05-29 16:00:00,46.615181,-20.2404728,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,793,FALSE,,G,OK,0,3800,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31700386458,TRUE,2024-02-15 04:21:47,46.61535,-20.23569,,794,-128,4.0165568975E8,286,266,58,-20.23569,-20.23569,2,46.61535,46.61535,6,0,3,96,439,911,89,116,93,1,197,1,,,,,,,,,,,,,,,,,,argos-doppler-shift,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31788372963,TRUE,2024-02-22 14:08:29,46.61647,-20.23714,,777,-124,4.0165568753E8,221,226,58,-20.23714,-20.23714,3,46.61647,46.61647,7,0,3,84,439,612,79,100,59,230,75,1,,,,,,,,,,,,,,,,,,argos-doppler-shift,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31788372961,TRUE,2024-02-22 03:23:31,46.61701,-20.23566,,794,-129,4.0165569546E8,341,147,48,-20.23566,-20.23566,2,46.61701,46.61701,4,0,3,53,181,377,308,116,120,58,13,1,,,,,,,,,,,,,,,,,,argos-doppler-shift,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
33441396791,TRUE,2024-05-29 04:03:12,46.617691,-20.2361221,,,,,,,,,,,,,,,,,,,,,,,,,,2D,,,,,,,,0,FALSE,,G,OK,0,3800,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
33441396790,TRUE,2024-05-29 02:59:12,46.6209908,-20.2359943,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,785,FALSE,,G,OK,0,3800,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31788373668,TRUE,2024-02-22 15:02:24,46.6210938,-20.2348156,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,615,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
