"week","sampleid","bat_species","seropos","antigen","age","age_bin","collection_date","biwk"
32,"AND42","Eidolon dupreanum",1,"NiV",5,6,2019-08-08,16
34,"KEL366","Eidolon dupreanum",1,"NiV",8,9,2019-08-24,17
34,"KEL361","Eidolon dupreanum",1,"NiV",3,4,2019-08-24,17
34,"KEL367","Eidolon dupreanum",0,"NiV",2,2,2019-08-24,17
34,"KEL368","Eidolon dupreanum",1,"NiV",3,4,2019-08-24,17
36,"ANGB158","Eidolon dupreanum",1,"NiV",8,9,2018-09-09,18
36,"ANGB157","Eidolon dupreanum",1,"NiV",8,9,2018-09-09,18
36,"ANGB160","Eidolon dupreanum",1,"NiV",2,2,2018-09-09,18
36,"ANGB159","Eidolon dupreanum",1,"NiV",5,6,2018-09-09,18
36,"ANGB162","Eidolon dupreanum",1,"NiV",4,4,2018-09-09,18
38,"KEL370","Eidolon dupreanum",1,"NiV",10,11,2019-09-20,19
38,"KEL378","Eidolon dupreanum",0,"NiV",0.841095890410959,2,2019-09-20,19
39,"CAT003","Eidolon dupreanum",1,"NiV",0.86027397260274,2,2019-09-27,20
40,"WAY022","Eidolon dupreanum",1,"NiV",0.873972602739726,2,2019-10-02,20
40,"WAY011","Eidolon dupreanum",1,"NiV",0.871232876712329,2,2019-10-01,20
40,"ANGB42","Eidolon dupreanum",0,"NiV",3,4,2014-10-04,20
40,"WAY010","Eidolon dupreanum",1,"NiV",0.871232876712329,2,2019-10-01,20
40,"WAY009","Eidolon dupreanum",1,"NiV",0.871232876712329,2,2019-10-01,20
40,"WAY023","Eidolon dupreanum",1,"NiV",0.873972602739726,2,2019-10-02,20
40,"WAY015","Eidolon dupreanum",1,"NiV",0.873972602739726,2,2019-10-02,20
41,"AND28","Eidolon dupreanum",0,"NiV",3,4,2014-10-14,21
41,"AND29","Eidolon dupreanum",0,"NiV",8,9,2014-10-14,21
41,"AND26","Eidolon dupreanum",1,"NiV",0.906849315068493,2,2014-10-14,21
41,"KEL39","Eidolon dupreanum",1,"NiV",4,4,2014-10-08,21
41,"KEL37","Eidolon dupreanum",1,"NiV",6,6,2014-10-08,21
41,"KEL56","Eidolon dupreanum",0,"NiV",10,11,2014-10-08,21
41,"KEL29","Eidolon dupreanum",1,"NiV",3.4,4,2014-10-08,21
41,"KEL35","Eidolon dupreanum",1,"NiV",11,11,2014-10-08,21
41,"KEL51","Eidolon dupreanum",0,"NiV",3,4,2014-10-08,21
41,"KEL33","Eidolon dupreanum",0,"NiV",4,4,2014-10-08,21
41,"KEL48","Eidolon dupreanum",0,"NiV",9,9,2014-10-08,21
41,"KEL32","Eidolon dupreanum",1,"NiV",3.25,4,2014-10-08,21
41,"KEL40","Eidolon dupreanum",0,"NiV",2,2,2014-10-08,21
42,"KEL391","Eidolon dupreanum",1,"NiV",0.915068493150685,2,2019-10-17,21
42,"AND33","Eidolon dupreanum",0,"NiV",3,4,2014-10-17,21
42,"AND31","Eidolon dupreanum",0,"NiV",10,11,2014-10-16,21
42,"AND30","Eidolon dupreanum",0,"NiV",4,4,2014-10-16,21
42,"KEL394","Eidolon dupreanum",1,"NiV",0.915068493150685,2,2019-10-17,21
42,"AND32","Eidolon dupreanum",0,"NiV",8,9,2014-10-17,21
42,"AND34","Eidolon dupreanum",0,"NiV",10,11,2014-10-18,21
42,"AND35","Eidolon dupreanum",0,"NiV",3,4,2014-10-18,21
44,"WAY032","Eidolon dupreanum",1,"NiV",0.956164383561644,2,2019-11-01,22
44,"WAY033","Eidolon dupreanum",1,"NiV",0.956164383561644,2,2019-11-01,22
44,"WAY034","Eidolon dupreanum",1,"NiV",0.956164383561644,2,2019-11-01,22
44,"WAY035","Eidolon dupreanum",1,"NiV",0.956164383561644,2,2019-11-01,22
44,"WAY036","Eidolon dupreanum",1,"NiV",0.956164383561644,2,2019-11-01,22
44,"WAY037","Eidolon dupreanum",1,"NiV",0.956164383561644,2,2019-11-01,22
44,"WAY038","Eidolon dupreanum",1,"NiV",0.956164383561644,2,2019-11-01,22
44,"WAY044","Eidolon dupreanum",1,"NiV",0.958904109589041,2,2019-11-02,22
44,"WAY045","Eidolon dupreanum",1,"NiV",0.958904109589041,2,2019-11-02,22
44,"WAY046","Eidolon dupreanum",1,"NiV",0.958904109589041,2,2019-11-02,22
44,"WAY052","Eidolon dupreanum",1,"NiV",0.961643835616438,2,2019-11-03,22
44,"WAY053","Eidolon dupreanum",1,"NiV",0.961643835616438,2,2019-11-03,22
45,"CAT033","Eidolon dupreanum",1,"NiV",0.967123287671233,2,2019-11-05,23
45,"CAT029","Eidolon dupreanum",1,"NiV",0.967123287671233,2,2019-11-05,23
45,"CAT028","Eidolon dupreanum",0,"NiV",0.967123287671233,2,2019-11-05,23
46,"KEL414","Eidolon dupreanum",1,"NiV",0.997260273972603,2,2019-11-16,23
46,"KEL421","Eidolon dupreanum",1,"NiV",0.997260273972603,2,2019-11-16,23
46,"KEL422","Eidolon dupreanum",0,"NiV",0.997260273972603,2,2019-11-16,23
46,"KEL416","Eidolon dupreanum",1,"NiV",0.997260273972603,2,2019-11-16,23
46,"KEL402","Eidolon dupreanum",1,"NiV",0.997260273972603,2,2019-11-16,23
47,"ANGB10","Eidolon dupreanum",1,"NiV",0.5,0.8,2013-11-23,24
47,"ANGB26","Eidolon dupreanum",0,"NiV",0.0191780821917808,0.1,2013-11-24,24
47,"ANGB11","Eidolon dupreanum",1,"NiV",2,2,2013-11-23,24
47,"ANGB2","Eidolon dupreanum",0,"NiV",1,2,2013-11-23,24
47,"ANGB4","Eidolon dupreanum",0,"NiV",5,6,2013-11-23,24
47,"ANGB22","Eidolon dupreanum",0,"NiV",0.0191780821917808,0.1,2013-11-24,24
47,"ANGB28","Eidolon dupreanum",1,"NiV",0.0191780821917808,0.1,2013-11-24,24
47,"ANGB9","Eidolon dupreanum",1,"NiV",1,2,2013-11-23,24
47,"ANGB8","Eidolon dupreanum",0,"NiV",1,2,2013-11-23,24
47,"ANGB6","Eidolon dupreanum",0,"NiV",1,2,2013-11-23,24
47,"ANGB7","Eidolon dupreanum",0,"NiV",1,2,2013-11-23,24
47,"ANGB5","Eidolon dupreanum",0,"NiV",7.5,9,2013-11-23,24
47,"ANGB30","Eidolon dupreanum",0,"NiV",0.0191780821917808,0.1,2013-11-24,24
48,"WAY072","Eidolon dupreanum",0,"NiV",0.0301369863013699,0.1,2019-11-28,24
48,"WAY073","Eidolon dupreanum",0,"NiV",0.0301369863013699,0.1,2019-11-28,24
48,"WAY081","Eidolon dupreanum",0,"NiV",0.0328767123287671,0.1,2019-11-29,24
48,"WAY083","Eidolon dupreanum",0,"NiV",0.0328767123287671,0.1,2019-11-29,24
50,"ANGB46","Eidolon dupreanum",1,"NiV",0.073972602739726,0.1,2014-12-14,25
50,"ANGB43","Eidolon dupreanum",1,"NiV",0.073972602739726,0.1,2014-12-14,25
